Directory,File Name,Function Types,Function Params,Function Names
chrome/content/zotero/elements,abstractBox.js,AsyncClassMethod,,asyncRender
chrome/content/zotero/elements,abstractBox.js,AsyncClassMethod,,_renderFeedItem
chrome/content/zotero/elements,abstractBox.js,ClassMethod,,_renderRegularItem
chrome/content/zotero/elements,abstractBox.js,ClassMethod,_progressData,onStateChange
chrome/content/zotero/elements,abstractBox.js,ClassMethod,_requestData,onStateChange
chrome/content/zotero/elements,abstractBox.js,ClassMethod,stateFlags,onStateChange
chrome/content/zotero/elements,abstractBox.js,ClassMethod,,_discardFeedAbstractBrowser
chrome/content/zotero/elements,annotationRow.js,ClassMethod,,observedAttributes
chrome/content/zotero/elements,annotationRow.js,ClassMethod,name,attributeChangedCallback
chrome/content/zotero/elements,annotationRow.js,ClassMethod,oldValue,attributeChangedCallback
chrome/content/zotero/elements,annotationRow.js,ClassMethod,newValue,attributeChangedCallback
chrome/content/zotero/elements,annotationRow.js,ClassMethod,,annotation
chrome/content/zotero/elements,annotationRow.js,ClassMethod,annotation,annotation
chrome/content/zotero/elements,annotationRow.js,ClassMethod,,init
chrome/content/zotero/elements,annotationRow.js,ClassMethod,,render
chrome/content/zotero/elements,attachmentAnnotationsBox.js,ClassMethod,,tabType
chrome/content/zotero/elements,attachmentAnnotationsBox.js,ClassMethod,tabType,tabType
chrome/content/zotero/elements,attachmentAnnotationsBox.js,ClassMethod,,item
chrome/content/zotero/elements,attachmentAnnotationsBox.js,ClassMethod,item,item
chrome/content/zotero/elements,attachmentAnnotationsBox.js,ClassMethod,,init
chrome/content/zotero/elements,attachmentAnnotationsBox.js,ClassMethod,,destroy
chrome/content/zotero/elements,attachmentAnnotationsBox.js,ClassMethod,event,notify
chrome/content/zotero/elements,attachmentAnnotationsBox.js,ClassMethod,_type,notify
chrome/content/zotero/elements,attachmentAnnotationsBox.js,ClassMethod,ids,notify
chrome/content/zotero/elements,attachmentAnnotationsBox.js,ClassMethod,_extraData,notify
chrome/content/zotero/elements,attachmentAnnotationsBox.js,ClassMethod,,render
chrome/content/zotero/elements,attachmentAnnotationsBox.js,AsyncClassMethod,,asyncRender
chrome/content/zotero/elements,attachmentAnnotationsBox.js,ClassMethod,annotation,addRow
chrome/content/zotero/elements,attachmentAnnotationsBox.js,ClassMethod,,updateCount
chrome/content/zotero/elements,attachmentAnnotationsBox.js,ClassMethod,,_updateHidden
chrome/content/zotero/elements,attachmentBox.js,ClassMethod,,constructor
