Directory,File Name,Function Types,Function Names,Function Params
chrome/content/zotero/components,utils.js,FunctionDeclaration,onKeyDown,event
chrome/content/zotero/components,utils.js,FunctionDeclaration,onDragStart,NONE
chrome/content/zotero/components,utils.js,FunctionDeclaration,onDragStop,event
chrome/content/zotero/components,utils.js,FunctionExpression,nextHTMLID,prefix
chrome/content/zotero/components,utils.js,FunctionExpression,scrollIntoViewIfNeeded,element
chrome/content/zotero/components,utils.js,FunctionExpression,scrollIntoViewIfNeeded,container
chrome/content/zotero/components,utils.js,FunctionExpression,scrollIntoViewIfNeeded,opts
chrome/content/zotero/components,utils.js,FunctionExpression,stopPropagation,ev
chrome/content/zotero/components,utils.js,FunctionExpression,omit,object
chrome/content/zotero/components,utils.js,FunctionExpression,omit,deleteKeys
chrome/content/zotero/components,utils.js,FunctionExpression,pick,object
chrome/content/zotero/components,utils.js,FunctionExpression,pick,pickKeys
chrome/content/zotero/components,virtualized-table.jsx,NONE,NONE,NONE
chrome/content/zotero/components,windowed-list.js,ClassMethod,constructor,options
chrome/content/zotero/components,windowed-list.js,ClassMethod,initialize,NONE
chrome/content/zotero/components,windowed-list.js,ClassMethod,destroy,NONE
chrome/content/zotero/components,windowed-list.js,ClassMethod,rerenderItem,index
chrome/content/zotero/components,windowed-list.js,ClassMethod,invalidate,NONE
chrome/content/zotero/components,windowed-list.js,ClassMethod,render,NONE
chrome/content/zotero/components,windowed-list.js,ClassMethod,update,options
chrome/content/zotero/components,windowed-list.js,ClassMethod,getWindowHeight,NONE
chrome/content/zotero/components,windowed-list.js,ClassMethod,scrollTo,scrollOffset
chrome/content/zotero/components,windowed-list.js,ClassMethod,scrollToRow,index
chrome/content/zotero/components,windowed-list.js,ClassMethod,getFirstVisibleRow,NONE
chrome/content/zotero/components,windowed-list.js,ClassMethod,getLastVisibleRow,NONE
chrome/content/zotero/components,windowed-list.js,ClassMethod,_getRangeToRender,NONE
chrome/content/zotero/components,windowed-list.js,ClassMethod,_getItemCount,NONE
chrome/content/zotero/components,windowed-list.js,ClassMethod,_binarySearchOffsets,array
chrome/content/zotero/components,windowed-list.js,ClassMethod,_binarySearchOffsets,searchValue
chrome/content/zotero/components,windowed-list.js,ClassMethod,_binarySearchOffsets,lookupByOffset
chrome/content/zotero/containers,tagSelectorContainer.jsx,NONE,NONE,NONE
chrome/content/zotero,contextMenuUtils.sys.mjs,FunctionDeclaration,getTargetElement,doc
chrome/content/zotero,contextMenuUtils.sys.mjs,FunctionDeclaration,getContextMenuPosition,targetElement
chrome/content/zotero,contextMenuUtils.sys.mjs,FunctionDeclaration,createContextMenuEvent,targetElement
chrome/content/zotero,contextPane.js,ObjectPropertyFunction,get,NONE
chrome/content/zotero,contextPane.js,ObjectPropertyFunction,get,NONE
chrome/content/zotero,contextPane.js,ObjectPropertyFunction,get,NONE
chrome/content/zotero,contextPane.js,ObjectPropertyFunction,get,NONE
chrome/content/zotero,contextPane.js,ObjectPropertyFunction,set,collapsed
chrome/content/zotero,contextPane.js,FunctionDeclaration,_updateAddToNote,NONE
chrome/content/zotero,contextPane.js,FunctionDeclaration,_updatePaneWidth,NONE
chrome/content/zotero,contextPane.js,FunctionDeclaration,_isStacked,NONE
chrome/content/zotero,contextPane.js,FunctionDeclaration,_update,NONE
chrome/content/zotero,contextPane.js,FunctionDeclaration,_isLibraryReadOnly,libraryID
chrome/content/zotero,contextPane.js,FunctionDeclaration,_togglePane,NONE
chrome/content/zotero,createParentDialog.js,FunctionDeclaration,toggleAccept,enabled
chrome/content/zotero,createParentDialog.js,FunctionDeclaration,doLoad,NONE
chrome/content/zotero,createParentDialog.js,FunctionDeclaration,doUnload,NONE
chrome/content/zotero,createParentDialog.js,AsyncFunctionDeclaration,doAccept,NONE
chrome/content/zotero,createParentDialog.js,FunctionDeclaration,doManualEntry,NONE
chrome/content/zotero,customElements.js,ObjectPropertyFunction,get,NONE
chrome/content/zotero,customElements.js,FunctionExpression,commandCallback,e
chrome/content/zotero,dateOverrides.js,NONE,NONE,NONE
chrome/content/zotero,debugViewer.js,AsyncFunctionDeclaration,start,NONE
chrome/content/zotero,debugViewer.js,FunctionDeclaration,stop,NONE
chrome/content/zotero,debugViewer.js,FunctionDeclaration,updateErrors,NONE
chrome/content/zotero,debugViewer.js,FunctionDeclaration,addInitialOutput,NONE
chrome/content/zotero,debugViewer.js,FunctionDeclaration,addLine,line
chrome/content/zotero,debugViewer.js,FunctionDeclaration,atPageBottom,NONE
chrome/content/zotero,debugViewer.js,FunctionDeclaration,scrollToPageBottom,NONE
chrome/content/zotero,debugViewer.js,FunctionDeclaration,submit,button
chrome/content/zotero,debugViewer.js,ObjectPropertyFunction,requestObserver,req
chrome/content/zotero,debugViewer.js,ObjectPropertyFunction,onProgress,request
chrome/content/zotero,debugViewer.js,ObjectPropertyFunction,onProgress,context
chrome/content/zotero,debugViewer.js,ObjectPropertyFunction,onProgress,progress
